.. csv-table:: 
   :header: "ID", "Bowl Name", "Favorite", "Underdog", "Spread", #RealMamaBear, Bear-in-Law, Blue Orred, Bopper, Bumblerooski, Can't Stop a Badger!, D-Bo, Gigi, GlamKam, Knights of Ren, Leeerroyyy Jeennkinns!!, Ms. Snuffleupagus, Panda, SaschaPicksDogs, Sweet Lou, The Aggie, The Dood, The Dood's Nemesis, TransferPortal

   "1", "QUICK LANE BOWL", "Western Michigan", "Nevada", "7.5", "1.0", "1.0", "0.0", "1.0", "0.0", "0.0", "1.0", "1.0", "1.0", "1.0", "0.0", "0.0", "1.0", "0.0", "0.0", "1.0", "1.0", "0.0", "1.0"
   "2", "BIRMINGHAM BOWL", "Auburn", "Houston", "2.5", "1.25", "1.25", "0.0", "0.0", "0.0", "0.0", "1.25", "1.25", "1.25", "0.0", "1.25", "0.0", "0.0", "1.25", "0.0", "1.25", "0.0", "1.25", "1.25"
   "3", "FIRST RESPONDER BOWL", "Louisville", "Air Force", "1.5", "0.0", "1.0", "1.0", "0.0", "1.0", "1.0", "1.0", "1.0", "0.0", "0.0", "1.0", "0.0", "1.0", "1.0", "0.0", "0.0", "1.0", "0.0", "0.0"
   "4", "LIBERTY BOWL", "Mississippi State", "Texas Tech", "9.5", "0.0", "0.0", "2.0", "0.0", "0.0", "0.0", "0.0", "0.0", "0.0", "0.0", "2.0", "0.0", "0.0", "2.0", "0.0", "0.0", "0.0", "2.0", "0.0"
   "5", "GUARANTEED RATE BOWL", "Minnesota", "West Virginia", "1.5", "0.0", "0.0", "0.0", "0.0", "1.0", "1.0", "1.0", "0.0", "0.0", "1.0", "0.0", "1.0", "0.0", "0.0", "1.0", "1.0", "0.0", "1.0", "1.0"
   "6", "PINSTRIPE BOWL", "Maryland", "Virginia Tech", "3.5", "1.0", "1.0", "1.0", "0.0", "0.0", "0.0", "0.0", "0.0", "1.0", "1.0", "0.0", "1.0", "1.0", "0.0", "1.0", "1.0", "1.0", "0.0", "1.0"
   "7", "CHEEZ-IT BOWL", "Clemson", "Iowa State", "1.0", "1.0", "1.0", "0.0", "0.0", "1.0", "1.0", "1.0", "1.0", "0.0", "1.0", "0.0", "1.0", "0.0", "0.0", "1.0", "1.0", "0.0", "1.0", "1.0"
   "8", "ALAMO BOWL", "Oklahoma", "Oregon", "4.5", "0.0", "1.0", "0.0", "1.0", "0.0", "1.0", "0.0", "1.0", "1.0", "1.0", "0.0", "0.0", "1.0", "0.0", "1.0", "0.0", "1.0", "0.0", "0.0"
   "9", "DUKE'S MAYO BOWL", "North Carolina", "South Carolina", "9.0", "0.0", "0.0", "2.0", "0.0", "2.0", "2.0", "0.0", "0.0", "0.0", "0.0", "2.0", "0.0", "0.0", "2.0", "0.0", "0.0", "0.0", "2.0", "0.0"
