#,Bowl Name,Favorite,Underdog,Spread,#mamabear,Aggie Austin,Amanda,Bad News Bibby,Badgers,Bear-in-Law,blue orred,bopper,Bugaroo,D-bo,Gigi,GlamKam,MamaLonghorn,NIL,Sure Thing Shipley,W2D2
1,Myrtle Beach Bowl,Marshall,UCONN,11.0,1.0,1.0,2.0,0.0,1.0,2.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,0.0
2,Famous Idaho Potato Bowl,San Jose State,Eastern Michigan,4.0,0.0,0.0,1.5,1.5,0.0,1.5,1.5,1.5,1.5,0.0,0.0,1.5,0.0,0.0,0.0,0.0
3,Boca Raton Bowl,Toledo,Liberty,4.5,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0
4,New Orleans Bowl,South Alabama,Western Kentucky,4.5,0.0,0.0,0.0,1.5,1.5,0.0,0.0,1.5,1.5,0.0,1.5,0.0,0.0,0.0,0.0,0.0
5,Armed Forces Bowl,Baylor,Air Force,5.5,0.0,0.0,0.0,1.5,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,Independence Bowl,Houston,Louisiana-Lafayette,7.0,1.0,1.0,1.0,0.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0
7,Gasparilla Bowl,Wake Forest,Missouri,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0
8,Hawaii Bowl,San Diego State,Middle Tennessee,7.0,0.0,0.0,1.5,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,Quick Lane Bowl,Bowling Green,New Mexico State,3.5,1.25,0.0,0.0,1.25,0.0,0.0,1.25,1.25,1.25,1.25,0.0,1.25,1.25,0.0,0.0,0.0
10,Camellia Bowl,Georgia Southern,Buffalo,3.5,0.0,1.25,0.0,1.25,0.0,0.0,1.25,0.0,0.0,0.0,0.0,1.25,0.0,0.0,0.0,0.0
11,First Responder Bowl,Memphis,Utah State,7.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
12,Birmingham Bowl,East Carolina,Coastal Carolina,8.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0
13,Guaranteed Rate Bowl,Wisconsin,Oklahoma State,3.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
14,Military Bowl,Duke,UCF,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0
15,Liberty Bowl,Arkansas,Kansas,3.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0
16,Holiday Bowl,Oregon,North Carolina,14.0,1.0,1.0,1.0,0.0,1.0,2.0,1.0,1.0,2.0,2.0,0.0,2.0,2.0,2.0,2.0,1.0
17,Texas Bowl,Ole Miss,Texas Tech,3.5,1.25,0.0,0.0,1.25,0.0,0.0,0.0,0.0,0.0,0.0,1.25,0.0,1.25,0.0,0.0,0.0
18,Pinstripe Bowl,Minnesota,Syracuse,7.5,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0
19,Cheez-It Bowl,Florida State,Oklahoma,8.0,1.0,1.0,2.0,0.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0
20,Alamo Bowl,Texas,Washington,4.0,0.0,0.0,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5
21,Duke's Mayo Bowl,Maryland,NC State,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
22,Sun Bowl,UCLA,Pitt,3.5,0.0,0.0,1.25,1.25,0.0,0.0,0.0,1.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,Gator Bowl,Notre Dame,South Carolina,2.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0
24,Arizona Bowl,Ohio,Wyoming,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0
25,Orange Bowl,Clemson,Tennessee,6.5,0.0,0.0,3.0,3.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0
Totals, , , , ,10.5,12.25,19.25,15.5,18.0,11.5,15.0,14.5,17.25,12.25,11.75,17.0,16.5,16.0,17.0,11.5
